provide,"[동] 제공하다, 공급하다, 준비하다"
belonging,"[명] 소유물, 부속물"
vulnerable,"[형] 상처받기 쉬운, 취약한"
implication,"[명] 암시, 영향"
authentic,"[형] 진정한, 진짜의"
compel,"[동] 강요하다, ~ 하게 만들다"
transition,"[명] 변화, 전환"
index,"[명] (책 등의) 색인, 지표"
incline,"[동] ~쪽으로 기울다, 경사지다, 내키게 하다"
attain,"[동] 이루다, 달성하다"
innate,[형] 타고난
ingenuity,"[명] 기발한 재주, 독창성"
record,"[명] 기록, 증언[동] 기록하다, 녹음하다"
seize,"[동] 붙잡다, 파악하다"
screw,[명] 나사나사로 고정하다
savage,"[형] 야만적인, 잔인한[동] 무참히 공격하다야만인"
province,"[명] 지역, 지방"
coordinate,"[동] 조직하다, 조정하다[형] 동등한"
deficient,"[형] 부족한, 불완전한"
privilege,[명] 특권[동] 특권을 주다
preview,"[명] 시사회, 시연, 미리보기"
equivalent,"[형] 동등한, ~에 상당하는[명] 동등한 것"
loom,[동] 어렴풋이 나타나다 베틀
purple,[명] 자주색의
outlaw,"[명] 범법자, 도망자금지하다, 법적으로 무효화하다"
squeeze,[동] (즙 등을) 짜내다
breakthrough,"[명] 돌파구, 비약적 발전"
consent,"[동] 동의하다, 허락하다[명] 동의, 허락"
orphan,[명] 고아
negotiate,[동] 협상하다
nuisance,"[명] 골칫거리, 방해, 귀찮은 사람"
recipe,[명] 요리법
deceive,"[동] 속이다, 기만하다"
sweep,"[동] 쓸다, 휩쓸다"
profile,"[명] 옆모습, 윤곽, 인물 소개"
enterprise,"[명] 기업, 사업"
successive,[형] 연속적인
paradox,"[명] 역설, 모순되는 말"
surpass,[동] 능가하다
correlation,"[명] 상관 관계, 연관성"
magnitude,"[명] 중대성, 거대함"
aesthetic,"[형] 미의, 미학의"
earnest,"[형] 성실한, 진심어린"
tremble,"[동] 떨다, 흔들리다"
slaughter,"[동] 도살하다, 학살하다"
surrender,"[동] 항복하다, 양도하다[명] 항복, 양도"
philosophy,"[명] 철학, 인생관"
deplete,[동] 고갈시키다
admire,[동] 존경하다
deform,"[동] 불구로 만들다, <물리> 변형시키다"
thrill,"[동] 오싹하다 [명] 오싹함, 떨림"
afford,[동] ~할 여유가 있다
blunt,"[형] 무뚝뚝한, 직설적인"
sprint,[동] 전력 질주하다
tense,[형] 긴장한[명] (문법) 시제긴장시키다
amplify,"[동] 증폭시키다, 확대하다"
timber,[명] 목재
collaborate,[동] 협력하다
stance,"[명] 태도, 자세"
blow,"[동] (입으로) 불다, (바람이) 불다"
ballot,[명] 투표투표하다
division,"[명] 분할, 분열, 나눗셈"
acquaintance,[명] 아는 사람
boil,"[동] 끓다, 삶다"
contradict,"[동] 모순되다, 반박하다, 부정하다"
burst,"[동] 터지다, 갑자기 나타나다[명] 파열, 폭발"
cast,"[동] 던지다, 배역을 정하다, (빛을) 발하다[명] 출연자, 깁스"
falsify,[명] 잘못을 입증하다
psychic,"[형] 초자연적인, 마음의"
paddle,[명] 노[동] 노를 저어 나아가다
steer,[동] 조종하다
affection,"[명] 애착, 애정"
bid,[동] 말하다
compost,"[명] 퇴비, 두엄
[동] 퇴비를 만들다, 두엄을 끼얹다"
temperament,[명] 기질
rent,"[명] 임대료
[동] 임대하다"
shred,[동] 조각조각으로 찢다
unpredictable,[형] 예측할 수 없는
tribute,[명] 경의의 표시
artery,[명] 동맥
inherent,[형] 내재하는
harass,[동] 희롱하다
narrative,"[형] 서술의, 이야기로 이루어진
[명] 이야기"
assemble,"[동] 모으다, 조립하다"
spike,"[명] 못, 뾰족한것"
sneak,[동] 몰래 들어가다
sophisticated,"[형] 세련된, 정교한"
handle,"[동] 처리하다, 다루다"
enlightenment,[명] 깨달음
cosmetic,"[명] 화장품
[형] 허울뿐인, 표면적인"
gracious,[형] 상냥한
aspire,[동] 열망하다
obstruct,"[동] 방해하다, 가로막다"
patrol,"[명] 순찰, 순찰병"
accelerate,"[동] 가속하다, 촉진하다"
heatstroke,[명] 일사병
oval,"[형] 타원형의
[명] 타원형"
veteran,"[명] 베테랑, 참전용사"
trail,"[명] 흔적, 오솔길
[동] 끌다, 추적하다"
vocation,"[명] 천직, 직업"
vegetarian,[명] 채식주의자
decode,[동] 해독하다
fellow,"[명] 친구, 동료
[형] 동료의"
mandate,"[명] 권한, 명령
[동] 권한을 부여하다, 명령하다"
perish,"[동] 소멸하다, 죽다"
inseparable,[형] 떼어낼 수 없는
domain,"[명] 영역, 도메인"
statesman,[명] 정치인
connotation,"[명] 함축, 내포"
stereotype,"[명] 인습, 고정관념"
hollow,[형] 속이 빈
structural,"[형] 구조상의, 구조적인"
mortgage,[명] 담보[동] 저당잡히다
inject,"[동] 주사하다, 주입하다"
crisis,[명] 위기
latter,"[형] 나중의, 후자의[명] (둘 중에서) 후자"
illuminate,[동] 계몽하다
mimic,[동] 흉내내다
unearth,[동] 발굴하다
wail,"[동] 울부짖다, 한탄하다"
shudder,"[동] (공포, 추위로) 떨다[명] 떨림"
stride,[동] 성큼성큼 걷다
applicant,[명] 지원자
disprove,[동] 반증하다
distrub,[동] 방해하다
hemisphere,"[명] (지구, 뇌의) 반구"
recur,[동] 재발하다
elastic,[형] 탄력있는[명] 고무줄
counterpart,[명] 대응 하는 것
stubborn,"[형] 완고한, 고집 센"
suicide,[명] 자살
lure,[동] 유혹하다[명] 매력
underprivileged,[형] 혜택받지 못한
morale,"[명] 사기, 의욕"
examine,"[동] 조사하다, 검사하다"
compromise,[동] 타협하다[명] 타협
foremost,[형] 주요한
precaution,"[명] 예방조치, 조심"
torture,[명] 고문[동] 고문하다
entrust,[동] 위임하다
sway,"[동] 흔들다, 동요시키다"
religious,"[형] 종교의, 신앙심이 깊은"
obligation,"[명] 의무, 책임"
pest,"[명] 해충, 유해동물"
subdue,[동] 완화하다
incorporate,[동] 통합하다
regime,"[명] 정권, 제도"
terminate,[동] 끝내다
rebel,[동] 반역을 일으키다
meanwhile,[부] 한편
folklore,[명] 민속
vast,[형] 방대한
preliminary,"[형] 예비의, 준비의[명] 예비 단계, 예선"
theft,[명] 절도
painkiller,[명] 진통제
amend,[동] 수정하다
recess,"[명] 휴식, 휴업"
exploit,[동] 이용하다
autonomy,"[명] 자율, 자치"
outfit,[명] 복장과 장비
mourn,[동] 애도하다
evoke,[동] 이끌어내다
burden,[명] 부담[동] ~에게 부담을 지우다
latitude,[명] 위도
patch,"[명] 조각, 작은 땅[동] 덧대다, 때우다"
maternal,[형] 모성의
pharmacy,"[명] 약국, 약학"
marine,"[형] 바다의, 해양의"
prestigious,[형] 명성이 있는
friction,"[명] 마찰, 충돌"
defend,[동] 방어하다
fraud,"[명] 사기, 사기꾼"
easygoing,[형] 태평스러운
insomnia,[명] 불면증
intermediate,"[형] 중급의, 중간의[명] 중급자"
transport,[동] 수송하다[명] 수송
paradigm,"[명] 패러다임, 사고체계"
charge,"[명] 요금, 책임[동] (요금을) 청구하다"
rapid,[형] 빠른
premature,[형] 조산한
pollute,[동] 오염시키다
altruism,[명] 이타주의
fiber,[명] 섬유질
irony,"[명] 아이러니, 비꼼, 반어법"
spectator,"[명] 관중, 구경꾼"
medieval,[형] 중세의
analogy,[명] 유사성
snatch,[동] 잡아채다
anthropology,[명] 인류학
outline,[명] 간략히 기술하다
slogan,"[명] 슬로건, 선전 문구"
composure,"[명] 침착, 평정"
incurable,"[형] 불치의, 구제 불능의
[명] 불치 환자"
parallel,"[형] 평행의, 유사한
[명] 평행선
[동] 유사하다"
indulge,[동] 탐닉하다.충족시키다
meadow,"[명] 목초지, 초원"
venture,"[동] 모험하다
[명] 모험"
deflect,"[동] 빗나가다, 빗나가게 하다, 막다"
adorable,"[형] 귀여운, 사랑스러운"
complacent,"[형] (스스로) 만족해하는, 현실에 안주하는"
explicit,"[형] 명백한, 분명한"
sturdy,"[형] 견고한, 튼튼한"
primate,[명] 영장류
patron,"[명] 후원자, 단골 손님"
endure,"[동] 참다, 인내하다, 견디다"
manifest,"[동] 명백하게 하다, 증명하다
[형] 명백한"
imperial,"[형] 제국의, 황제의"
duration,"[명] 지속, 지속 기간"
populate,[동] 거주시키다
frugal,"[형] 검소한, 절약하는"
registration,"[명] 기재, 등록"
rejoice,[동] 크게 기뻐하다
comprise,"[동] 포함하다, 구성하다"
textile,"[형] 직물의, 방직의
[명] 직물"
lurk,"[동] 숨다, 잠복하다"
humanity,"[명] 인류, 인간성, 인간애"
approximate,"[동] (수량 등이) ~에 가까워지다
[형] 대략의"
revenge,"[명] 복수
[동] 복수하다"
sarcastic,"[형] 비꼬는, 풍자적인"
terrain,"[명] 지형, 지역, 분야, 범위"
toll,"[명] 사용세, 통행료, 종소리
[동] 요금으로 징수하다"
warfare,"[명] 전쟁, 전투, 교전 상태"
mortal,"[형] 죽을 운명의, 치명적인
[명] 인간"
spouse,[명] 배우자
crispy,"[형] 바삭바삭한, 부서지기 쉬운"
statistical,"[형] 통계적인, 통계상의"
rubbish,"[명] 쓰레기, 폐기물
[동] 혹평하다"
stimulus,"[명] 자극, 격려"
clumsy,"[형] 서투른, 어색한"
subsequent,"[형] 다음의, 그 이후의"
relevant,"[형] 관련된, 적절한"
predator,"[명] 포식자, 약탈자, 육식 동물"
drain,"[동] 물을 빼내다, 소모시키다
[명] 배수관"
countless,"[형] 셀 수 없는, 무수한"
condense,"[동] 농축하다, 요약하다"
post,"[동] (벽 따위에) 붙이다, 우편"
poise,"[동] 균형을 잡다
[명] 균형, 평정"
disciple,"[명] 제자, 문하생"
gust,"[명] 돌풍, 질풍"
collective,"[형] 집합적인, 집단적인
[명] 집단"
scope,"[명] (관찰, 활동의) 범위, 시야
[동] 조사하다"
compatible,"[형] 양립할 수 있는, 모순이 없는"
border,"[명] 경계, 가장자리, 국경
[동] 인접하다"
frontier,"[명] 국경
[형] 국경의, 최첨단의"
withhold,"[동] 억누르다, 억제하다, 보류하다"
verdict,"[명] 판결, 결정"
stall,"[명] 마구간, 우리
[동] 핑계를 대다"
apparatus,"[명] 장치, 기구, 조직"
hail,"[명] 우박, 싸락눈
[동] 우박이 내리다"
outburst,"[명] 폭발, 분출"
vanity,"[명] 허영심, 허무함"
firsthand,"[형] 직접의
[부] 직접, 바로"
obesity,"[명] 비만, 비대"
dilemma,"[명] 진퇴양난, 딜레마, 궁지"
render,"[동] ~이 되게 하다, 주다, 제공하다"
indispensable,"[형] 필수 불가결한
[명] 없어서는 안 될 것"
outdated,"[형] 구식의, 시대에 뒤진"
bother,"[동] 일부러~ 하다, 괴롭히다"
counteract,"[동] (효력을) 중화시키다, 약화시키다"
static,"[형] 정적인, 고정된"
sustain,"[동] 유지하다, 지탱하다"
posture,"[명] 자세, 태도"
discourse,"[명] 담화, 강연"
bribe,"[명] 뇌물
[동] 뇌물을 주다"
retention,"[명] 보유, 기억력"
valiant,"[형] 용감한, 용맹스런"
distress,"[명] 고민, 고통
[동] ~을 괴롭히다"
nursery,"[명] 육아실, 탁아소"
juggle,"[동] 잘 처리하다, 저글링하다"
perspiration,"[명] 땀, 노력"
encircle,"[동] 에워싸다, 둘러싸다"
notion,"[명] 개념, 의견"
disgust,"[명] 혐오감
[동] 역겹게 하다"
fragment,"[명] 일부분, 부서진 조각
[동] 산산이 부서지다"
oversee,"[동] 감독하다, 감시하다"
creep,"[동] 기다, (덩굴 등이) 얽히다
[명] 포복, 서행"
clarify,[동] 명백히 하다
contagious,"[형] 전염성의, 감염성의"
deterioration,"[명] 악화, (가치의) 하락, 저하"
currency,"[명] 통화, 통용"
janitor,"[명] 문지기, 관리인, (건물) 경비원"
blush,"[동] 얼굴을 붉히다, 부끄러워 하다"
intervene,"[동] 끼어들다, 개입하다, 방해하다"
nomad,"[명] 유목민, 방랑자"
cuisine,"[명] 요리, 요리법"
dare,[동] 감히 ~하다
solvent,"[형] 용해력이 있는, 지불 능력이 있는
[명] 용제, 용액"
cultivate,"[동] 경작하다, 양성하다, 계발하다"
ascent,"[명] 상승, 오름"
advocate,"[명] 옹호자, 지지자
[동] 지지하다"
spur,"[명] 자극, 고무
[동] ~을 자극하다, (말에) 박차를 가하다"
discern,"[동] 식별하다, 분별하다, ~을 인식하다"
scheme,"[명] 계획, 체계
[동] 계획하다"
weigh,[동]  무게를 달다
publicity,"[명] 널리 알려짐, 명성, 광고, 선전"
declare,"[동] 선언하다, (세관에) 신고하다"
brisk,"[형] 활발한, 번창하는, 상쾌한"
exile,"[명] 망명, 망명자
[동] 망명시키다"
whisper,"[동] 속삭이다
[명] 속삭임"
fling,"[동] 내던지다, 돌진하다"
deviation,"[명] 변경, 일탈"
dissolve,"[동] 용해하다, 해산하다, 해소하다"
constraint,"[명] 강제, 압박, 제약"
itch,"[동] 가려움, 가렵다, (~하고 싶어) 못 견디다"
unanimous,"[형] 만장일치의, 합의의"
delude,"[동] 속이다, 착각하게 하다"
dehydrate,"[동] 탈수하다, 건조시키다"
underneath,"[전] ~의 아래에, 밑에"
metabolism,"[명] 물질대사, 신진대사"
appoint,"[동] 임명[지명]하다, (시간, 장소를) 정하다"
pinch,"[동] 꼬집다, 집다, 죄다"
punctual,[형] 시간을 지키는
arbitrary,"[형] 임의적인, 독단적인"
catastrophe,"[명] 대참사, 재앙"
exert,"[동] (힘, 영향력을) 가하다, 발휘하다"
aviate,"[동] 조종하다, 비행하다"
headquarters,"[명] 본사, 본부"
rectangular,"[형] 직사각형의, 직각의"
deledate,"[동] 파견하다
[명] 사절, 대표"
elect,[동] 선출하다
thorn,[명] 가시
empathize,[동] 공감하다
expertise,[명] 전문 지식
renovate,"[동] ~을 새것으로 만들다, 수리하다"
wrench,"[동] 비틀다, 삐다 
[명] 렌치, 쓰라림"
interval,"[명] 간격, 사이"
degrade,"[동] 저하시키다, 비하하다, 분해하다"
report,"[명] 보고서, 말대꾸
[동] 보고하다, 발표하다"
asthma,[명] 천식
realm,"[명] 영역, 왕국"
segment,"[명] 부분, 조각"
coexist,[동] 공존하다
hospitality,"[명] 환대, 후한 대접"
estate,"[명] 재산, 토지"
displace,"[동] 옮겨 놓다, 대체하다"
cripple,"[명] 불구자, 지체 부자유자
[동] ~을 불구로 만들다, 손상시키다"
drawback,"[명] 문제점, 결점, 장애"
tactics,"[명] 방안, 전술"
dread,"[동] 두려워하다, 무서워하다
[명] 두려움, 공포"
dispute,"[동] 논쟁하다, 토의하다
[명] 논쟁, 분쟁"
console,[동] 위로하다
stack,"[명] 더미, 산더미
[동] 쌓아 올리다"
cynical,"[형] 냉소적인, 비관적인"
reprove,"[동] 꾸짖다, 책망하다"
verify,[동] 입증하다
engross,[동] 열중하게 하다
bulk,"[명] 크기, 부피, 대부분
[동] 부피가 커지다, 덩어리가 되다"
despise,[동] 경멸하다
manuscript,"[명] 원고, 필사본"
flee,[동] 달아나다
prehistoric,[형] 선사시대의
barrel,"[명] 통, 배럴"
predecessor,"[명] 이전 형태, 전임자"
alienate,"[동] 소외시키다, 멀리하다"
preclaim,"[동] 선언하다, 선포하다"
subordinate,"[형] 하위의, 부차적인[명] 하급자[동] 하위에 두다"
furnish,"[동] (가구를) 비치하다, 제공하다, 갖추다"
fume,"[동] 씩씩대다, 연기를 내뿜다[명] 연기"
staple,"[형] 주된, 주요한[명] 주성분"
dimension,"[명] 크기, 측면, 치수, 차원"
dispersal,"[명] 분산, 확산"
eloquent,"[형] 웅변의, 달변의, 연설을 잘 하는, 표현이 풍부한"
innermost,[형] 가장 깊숙한[명] 가장 깊은 부분
hazardous,"[형] 위험한, 해로운"
skull,[명] 두개골
detergent,[명] 세제
brutal,"[형] 야만적인, 잔혹한"
rash,"[명] 반점, 발진[형] 경솔한"
bypass,[명] 우회로[동] 우회하다
accommodate,"[동] 수용하다, 적응하다"
tact,"[명] 재치, 기지"
monotonous,"[형] 단조로운, 지루한"
perpetual,"[형] 영원한, 끊임없는"
eligible,"[형] ~을 할 수 있는, 유능한, 자격의, 자격이 있는"
legacy,"[명] 유물, 유산"
melancholy,[형] 우울한[명] 우울함
simplicity,"[명] 단순함, 간단"
hierarchy,"[명] 계층, 계급, 지배층, 체계"
reside,[동] 거주하다
enact,"[동] 제정하다, 상영하다"
burnout,"[명] 극도의 피로, 쇠진"
legitimate,"[형] 타당한, 합법적인, 정당한"
shuffle,"[동] 발을 끌며 걷다, 뒤섞다"
summarize,[동] 요약하다
eject,"[동] 쫓아내다, 튀어나오게 하다"
intersection,"[명] 교차로, 교차함"
quest,"[명] 탐색, 탐구, 추구, 찾음"
linear,"[형] 직선의, 길이의"
landslide,"[명] 산사태, (선거에서) 압도적 승리"
plausible,"[형] 그럴듯한, 이치에 맞는"
endow,"[동] 기부하다, ~에게 부여하다"
extrinsic,"[형] 외적인, 외부의"
merge,"[동] 합병하다, 차차 변하다"
frantic,"[형] 광란의, 미친"
moan,"[명] 신음, 투덜거림
[동] 신음하다, 불평하다"
merchandise,"[명] (집학적) 상품
[동] 거래하다"
respectively,"[부] 각각, 저마다"
yearn,"[동] 그리워하다, 열망하다"
conviction,"[명] 확신, 유죄 판결"
stout,"[형] 뚱뚱한, (옷 등이) 튼튼한"
reckon,"[동] 세다, 계산하다, 생각하다"
enchant,"[동] 매혹하다, ~에게 마법을 걸다"
entail,"[동] 수반하다, 의미하다, 필요로 하다"
demolish,"[동] 파괴하다, 폐지하다"
degenerate,"[동] 퇴보하다, 타락하다"
sentiment,"[명] 감상, 정서"
offspring,"[명] 자식, 새끼, 성과"
detest,"[동] 혐오하다, 미워하다"
tackle,"[동] (일, 문제를) 다루다, 처리하다
[명] 도구, (축구의) 태클"
defy,"[동] 물리치다, (공공연히) 무시하다, 반항하다"
inference,[명] 추론
refraction,"[명] (빛, 소리 따위의) 굴절"
dusk,"[명] 땅거미, 어스름"
detach,"[동] 떼어내다, 분리하다"
antagonist,"[명] 적대자, 라이벌"
thrust,"[동] 밀다, 밀치다, 찌르다"
creed,"[명] 신념, (종교의) 교의"
equate,"[동] 동일시하다, 일치하다"
misplace,[동] 잘못두다
auditory,"[형] 귀의, 청각의, 음향의"
missionary,[명] 선교사
cosmopolitan,"[형] 세계적인, 세계주의의
[명] 세계인, 국제인"
secondhand,"[형] 중고의, 간접적인"
multiple,"[형] 복합적인, 다수의, 다양한
[명] (수학) 배수"
embed,"[동] 깊숙이 박다, 깊이 간직하다, 내재하다"
propel,"[동] 나아가게 하다, 추진하다"
reptile,[명] 파충류
erosion,"[명] 부식, 침식"
feat,"[명] 위업, 공적, 솜씨"
utensil,"[명] 가정용품, 기구, 도구"
penetrate,"[동] 관통하다, 꿰뚫다, 침투하다"
intrude,"[동] 침범하다, 방해하다"
notable,"[형] 주목할 만한, 유명한"
grumble,"[동] 불평하다, 투덜거리다
[명] 불평"
landfill,[명] 쓰레기 매립지
scrutiny,"[명] (정밀) 조사, 철저한 검토"
reckless,"[형] 무모한, 부주의한, 신중하지 못한"
synthetic,"[형] 합성의, 종합적인"
productive,"[형] 생산하는, 생산적인"
outset,"[명] 착수, 발단, 시작, 처음"
peril,[명] 위험
pitfall,"[명] 위험, 함정"
kidnap,"[동] 납치하다
[명] 유괴"
liable,"[형] 책임이 있는, ~하기 쉬운"
insane,"[형] 정신 이상의, 미친, 비상식적인"
rage,"[명] 격노
[동] 격노하다"
radius,[명] 반지름
hybrid,"[명] 잡종, 혼합물"
uncover,"[동] 폭로하다, 덮개를 벗기다"
limb,"[명] 사지, 팔다리, 나뭇가지"
setback,"[명] 좌절, 차질, 방해, 실패"
prudent,[형] 신중한
solidify,"[동] 굳어지다, 굳히다, 확고히 하다"
grudge,"[명] 원한, 유감"
lessen,[동] 줄이다
tangle,"[동] 얽히게 하다, 혼란시키다"
subsidy,"[명] 보조금, 장려금"
ambiguous,"[형] 애매모호한, 불명확한"
enthusiasm,"[명] 열광, 열정, 열광하는 대상"
bankruptcy,[명] 파산
pollination,[명] 수분
prosper,"[동] 번영하다, 번창하다"
phase,[명] 단계
veterinarian,[명] 수의사
counterattack,"[명] 반격, 연습
[동] 반격하다, 역습하다"
cumulative,[형] 누적되는
infrastructure,"[명] (사회) 기반 시설, 하부 조직"
wound,"[동] 상처를 입히다, 부상하게 하다
[명] 부상, 상처"
discrete,[형] 별개의
fluctuation,"[명] 변동, 동요"
